ptMod;securityLevel;dist;numMults;variant;nthRep;keyGenTime;keyGen4HMEkeys;totEncTime;avgEncTime;totHomOpr;decTime
537133057;HEStd_128_classic;3.2;3;1;0;14;104;139;13.9;8;3
537133057;HEStd_128_classic;3.2;3;2;0;11;88;100;10;513;5
537133057;HEStd_128_classic;3.2;3;3;0;12;115;113;11.3;126;2
537133057;HEStd_128_classic;3.2;3;8;0;11;109;125;12.5;214;6
537133057;HEStd_128_classic;3.2;3;9;0;10;83;101;10.1;27;2
786433;HEStd_128_classic;3.2;3;1;0;5;28;46;4.6;4;0
786433;HEStd_128_classic;3.2;3;2;0;11;66;81;8.1;142;4
786433;HEStd_128_classic;3.2;3;3;0;9;56;400;40;166;7
786433;HEStd_128_classic;3.2;3;8;0;18;37;66;6.6;125;3
786433;HEStd_128_classic;3.2;3;9;0;8;35;67;6.7;78;13
269221889;HEStd_128_classic;3.2;3;1;0;11;111;143;14.3;12;3
269221889;HEStd_128_classic;3.2;3;2;0;17;140;184;18.4;434;3
269221889;HEStd_128_classic;3.2;3;3;0;10;96;141;14.1;187;16
269221889;HEStd_128_classic;3.2;3;8;0;12;103;117;11.7;219;3
269221889;HEStd_128_classic;3.2;3;9;0;12;105;132;13.2;69;5
5767169;HEStd_128_classic;3.2;3;1;0;5;32;45;4.5;7;2
5767169;HEStd_128_classic;3.2;3;2;0;4;50;59;5.9;161;4
5767169;HEStd_128_classic;3.2;3;3;0;8;35;55;5.5;56;1
5767169;HEStd_128_classic;3.2;3;8;0;7;31;48;4.8;64;4
5767169;HEStd_128_classic;3.2;3;9;0;10;35;80;8;23;2
549760663553;HEStd_128_classic;3.2;3;1;0;14;159;277;27.7;21;4
549760663553;HEStd_128_classic;3.2;3;2;0;15;161;194;19.4;1639;9
549760663553;HEStd_128_classic;3.2;3;3;0;40;350;237;23.7;561;3
549760663553;HEStd_128_classic;3.2;3;8;0;21;170;148;14.8;241;3
549760663553;HEStd_128_classic;3.2;3;9;0;10;131;128;12.8;58;4
549760663553;HEStd_128_classic;3.2;3;1;0;23;135;166;16.6;16;5
549760663553;HEStd_128_classic;3.2;3;2;0;16;199;269;26.9;486;6
549760663553;HEStd_128_classic;3.2;3;3;0;19;183;181;18.1;480;12
549760663553;HEStd_128_classic;3.2;3;8;0;26;224;194;19.4;259;10
549760663553;HEStd_128_classic;3.2;3;9;0;12;148;156;15.6;39;4
537133057;HEStd_128_classic;3.2;3;1;1;10;87;132;13.2;11;21
537133057;HEStd_128_classic;3.2;3;2;1;15;135;166;16.6;312;2
537133057;HEStd_128_classic;3.2;3;3;1;11;89;173;17.3;117;4
537133057;HEStd_128_classic;3.2;3;8;1;13;108;157;15.7;470;6
537133057;HEStd_128_classic;3.2;3;9;1;12;143;174;17.4;66;8
786433;HEStd_128_classic;3.2;3;1;1;7;50;103;10.3;11;3
786433;HEStd_128_classic;3.2;3;2;1;6;35;78;7.8;245;4
786433;HEStd_128_classic;3.2;3;3;1;13;132;95;9.5;151;5
786433;HEStd_128_classic;3.2;3;8;1;32;73;134;13.4;102;4
786433;HEStd_128_classic;3.2;3;9;1;13;33;91;9.1;52;4
269221889;HEStd_128_classic;3.2;3;1;1;13;116;141;14.1;13;15
269221889;HEStd_128_classic;3.2;3;2;1;14;97;107;10.7;707;3
269221889;HEStd_128_classic;3.2;3;3;1;21;192;127;12.7;119;7
269221889;HEStd_128_classic;3.2;3;8;1;19;116;161;16.1;371;4
269221889;HEStd_128_classic;3.2;3;9;1;9;116;176;17.6;91;5
5767169;HEStd_128_classic;3.2;3;1;1;17;43;79;7.9;28;1
5767169;HEStd_128_classic;3.2;3;2;1;7;30;77;7.7;228;2
5767169;HEStd_128_classic;3.2;3;3;1;13;51;58;5.8;118;9
5767169;HEStd_128_classic;3.2;3;8;1;18;58;98;9.8;113;2
5767169;HEStd_128_classic;3.2;3;9;1;13;46;86;8.6;63;4
549760663553;HEStd_128_classic;3.2;3;1;1;25;208;147;14.7;20;1
549760663553;HEStd_128_classic;3.2;3;2;1;12;158;179;17.9;387;8
549760663553;HEStd_128_classic;3.2;3;3;1;12;134;138;13.8;399;3
549760663553;HEStd_128_classic;3.2;3;8;1;18;175;176;17.6;406;15
549760663553;HEStd_128_classic;3.2;3;9;1;26;168;156;15.6;119;5
549760663553;HEStd_128_classic;3.2;3;1;1;19;193;211;21.1;13;1
549760663553;HEStd_128_classic;3.2;3;2;1;13;174;176;17.6;345;3
549760663553;HEStd_128_classic;3.2;3;3;1;12;151;204;20.4;189;4
549760663553;HEStd_128_classic;3.2;3;8;1;13;153;172;17.2;251;3
549760663553;HEStd_128_classic;3.2;3;9;1;18;152;138;13.8;90;8
537133057;HEStd_128_classic;3.2;3;1;2;11;100;163;16.3;13;4
537133057;HEStd_128_classic;3.2;3;2;2;30;121;230;23;456;4
537133057;HEStd_128_classic;3.2;3;3;2;10;126;203;20.3;166;7
537133057;HEStd_128_classic;3.2;3;8;2;23;132;168;16.8;288;4
537133057;HEStd_128_classic;3.2;3;9;2;15;126;156;15.6;24;3
786433;HEStd_128_classic;3.2;3;1;2;8;31;45;4.5;4;0
786433;HEStd_128_classic;3.2;3;2;2;4;47;46;4.6;145;2
786433;HEStd_128_classic;3.2;3;3;2;5;31;52;5.2;39;3
786433;HEStd_128_classic;3.2;3;8;2;9;39;81;8.1;173;6
786433;HEStd_128_classic;3.2;3;9;2;8;43;67;6.7;19;4
269221889;HEStd_128_classic;3.2;3;1;2;16;93;110;11;10;1
269221889;HEStd_128_classic;3.2;3;2;2;13;86;100;10;469;3
269221889;HEStd_128_classic;3.2;3;3;2;10;86;124;12.4;240;8
269221889;HEStd_128_classic;3.2;3;8;2;44;103;126;12.6;251;5
269221889;HEStd_128_classic;3.2;3;9;2;21;104;127;12.7;53;9
5767169;HEStd_128_classic;3.2;3;1;2;5;35;84;8.4;19;48
5767169;HEStd_128_classic;3.2;3;2;2;4;35;60;6;448;2
5767169;HEStd_128_classic;3.2;3;3;2;9;43;72;7.2;84;2
5767169;HEStd_128_classic;3.2;3;8;2;4;44;52;5.2;91;3
5767169;HEStd_128_classic;3.2;3;9;2;4;28;51;5.1;11;2
549760663553;HEStd_128_classic;3.2;3;1;2;12;141;138;13.8;10;1
549760663553;HEStd_128_classic;3.2;3;2;2;10;137;122;12.2;512;3
549760663553;HEStd_128_classic;3.2;3;3;2;11;125;140;14;134;3
549760663553;HEStd_128_classic;3.2;3;8;2;29;132;117;11.7;149;3
549760663553;HEStd_128_classic;3.2;3;9;2;13;159;166;16.6;90;9
549760663553;HEStd_128_classic;3.2;3;1;2;21;184;141;14.1;33;15
549760663553;HEStd_128_classic;3.2;3;2;2;13;152;141;14.1;490;6
549760663553;HEStd_128_classic;3.2;3;3;2;12;170;185;18.5;120;6
549760663553;HEStd_128_classic;3.2;3;8;2;12;134;176;17.6;165;4
549760663553;HEStd_128_classic;3.2;3;9;2;12;176;182;18.2;43;4
537133057;HEStd_128_classic;3.2;3;1;3;12;100;147;14.7;18;5
537133057;HEStd_128_classic;3.2;3;2;3;13;93;103;10.3;272;3
537133057;HEStd_128_classic;3.2;3;3;3;10;90;126;12.6;138;2
537133057;HEStd_128_classic;3.2;3;8;3;18;132;128;12.8;254;6
537133057;HEStd_128_classic;3.2;3;9;3;16;134;285;28.5;53;4
786433;HEStd_128_classic;3.2;3;1;3;5;37;62;6.2;3;1
786433;HEStd_128_classic;3.2;3;2;3;8;31;65;6.5;270;3
786433;HEStd_128_classic;3.2;3;3;3;4;30;58;5.8;88;2
786433;HEStd_128_classic;3.2;3;8;3;12;58;65;6.5;149;6
786433;HEStd_128_classic;3.2;3;9;3;8;40;77;7.7;41;5
269221889;HEStd_128_classic;3.2;3;1;3;75;135;142;14.2;17;2
269221889;HEStd_128_classic;3.2;3;2;3;12;104;133;13.3;288;3
269221889;HEStd_128_classic;3.2;3;3;3;14;95;120;12;102;3
269221889;HEStd_128_classic;3.2;3;8;3;10;121;139;13.9;159;4
269221889;HEStd_128_classic;3.2;3;9;3;11;87;118;11.8;66;5
5767169;HEStd_128_classic;3.2;3;1;3;5;35;46;4.6;5;0
5767169;HEStd_128_classic;3.2;3;2;3;4;26;95;9.5;211;4
5767169;HEStd_128_classic;3.2;3;3;3;5;34;55;5.5;79;3
5767169;HEStd_128_classic;3.2;3;8;3;6;38;57;5.7;94;2
5767169;HEStd_128_classic;3.2;3;9;3;22;45;116;11.6;63;7
549760663553;HEStd_128_classic;3.2;3;1;3;16;179;155;15.5;31;6
549760663553;HEStd_128_classic;3.2;3;2;3;14;142;164;16.4;555;7
549760663553;HEStd_128_classic;3.2;3;3;3;14;148;164;16.4;164;4
549760663553;HEStd_128_classic;3.2;3;8;3;11;154;164;16.4;193;7
549760663553;HEStd_128_classic;3.2;3;9;3;11;141;141;14.1;37;2
549760663553;HEStd_128_classic;3.2;3;1;3;13;145;160;16;20;5
549760663553;HEStd_128_classic;3.2;3;2;3;13;159;159;15.9;518;4
549760663553;HEStd_128_classic;3.2;3;3;3;16;149;149;14.9;365;6
549760663553;HEStd_128_classic;3.2;3;8;3;11;179;149;14.9;291;4
549760663553;HEStd_128_classic;3.2;3;9;3;12;153;151;15.1;49;4
537133057;HEStd_128_classic;3.2;3;1;4;11;86;113;11.3;16;6
537133057;HEStd_128_classic;3.2;3;2;4;12;98;166;16.6;234;6
537133057;HEStd_128_classic;3.2;3;3;4;11;93;107;10.7;111;3
537133057;HEStd_128_classic;3.2;3;8;4;11;84;103;10.3;132;4
537133057;HEStd_128_classic;3.2;3;9;4;11;97;117;11.7;113;18
786433;HEStd_128_classic;3.2;3;1;4;5;40;79;7.9;23;2
786433;HEStd_128_classic;3.2;3;2;4;9;32;46;4.6;97;3
786433;HEStd_128_classic;3.2;3;3;4;5;50;78;7.8;96;12
786433;HEStd_128_classic;3.2;3;8;4;5;40;81;8.1;251;2
786433;HEStd_128_classic;3.2;3;9;4;4;37;66;6.6;32;5
269221889;HEStd_128_classic;3.2;3;1;4;12;112;172;17.2;53;5
269221889;HEStd_128_classic;3.2;3;2;4;30;130;164;16.4;405;6
269221889;HEStd_128_classic;3.2;3;3;4;13;117;135;13.5;176;6
269221889;HEStd_128_classic;3.2;3;8;4;21;93;132;13.2;309;4
269221889;HEStd_128_classic;3.2;3;9;4;11;101;100;10;27;2
5767169;HEStd_128_classic;3.2;3;1;4;8;36;49;4.9;7;1
5767169;HEStd_128_classic;3.2;3;2;4;4;50;51;5.1;106;3
5767169;HEStd_128_classic;3.2;3;3;4;6;39;49;4.9;49;2
5767169;HEStd_128_classic;3.2;3;8;4;7;29;53;5.3;63;3
5767169;HEStd_128_classic;3.2;3;9;4;6;33;91;9.1;35;3
549760663553;HEStd_128_classic;3.2;3;1;4;14;154;209;20.9;19;8
549760663553;HEStd_128_classic;3.2;3;2;4;11;129;155;15.5;455;6
549760663553;HEStd_128_classic;3.2;3;3;4;14;156;146;14.6;249;7
549760663553;HEStd_128_classic;3.2;3;8;4;16;167;165;16.5;277;4
549760663553;HEStd_128_classic;3.2;3;9;4;23;168;172;17.2;60;8
549760663553;HEStd_128_classic;3.2;3;1;4;16;132;138;13.8;15;1
549760663553;HEStd_128_classic;3.2;3;2;4;14;149;162;16.2;324;3
549760663553;HEStd_128_classic;3.2;3;3;4;10;130;142;14.2;142;4
549760663553;HEStd_128_classic;3.2;3;8;4;16;159;125;12.5;322;10
549760663553;HEStd_128_classic;3.2;3;9;4;15;152;140;14;81;5
