ptMod;securityLevel;dist;numMults;variant;nthRep;keyGenTime;keyGen4HMEkeys;totEncTime;avgEncTime;totHomOpr;decTime
537133057;HEStd_128_classic;3.2;1;1;0;6;11;38;3.8;10;3
537133057;HEStd_128_classic;3.2;1;2;0;3;14;57;5.7;90;3
537133057;HEStd_128_classic;3.2;1;3;0;2;21;46;4.6;64;2
537133057;HEStd_128_classic;3.2;1;8;0;3;12;42;4.2;79;3
537133057;HEStd_128_classic;3.2;1;9;0;3;16;40;4;19;2
537133057;HEStd_128_classic;3.2;2;1;0;4;26;41;4.1;5;2
537133057;HEStd_128_classic;3.2;2;2;0;5;36;53;5.3;176;2
537133057;HEStd_128_classic;3.2;2;3;0;4;28;79;7.9;42;2
537133057;HEStd_128_classic;3.2;2;8;0;4;22;51;5.1;78;2
537133057;HEStd_128_classic;3.2;2;9;0;4;23;48;4.8;18;2
537133057;HEStd_128_classic;3.2;3;1;0;9;75;85;8.5;7;3
537133057;HEStd_128_classic;3.2;3;2;0;8;73;90;9;293;4
537133057;HEStd_128_classic;3.2;3;3;0;10;81;88;8.8;198;7
537133057;HEStd_128_classic;3.2;3;8;0;60;78;71;7.1;73;2
537133057;HEStd_128_classic;3.2;3;9;0;8;64;73;7.3;16;2
537133057;HEStd_128_classic;3.2;4;1;0;9;98;84;8.4;6;1
537133057;HEStd_128_classic;3.2;4;2;0;11;100;85;8.5;163;2
537133057;HEStd_128_classic;3.2;4;3;0;10;98;83;8.3;75;2
537133057;HEStd_128_classic;3.2;4;8;0;9;99;84;8.4;98;2
537133057;HEStd_128_classic;3.2;4;9;0;9;96;86;8.6;23;1
537133057;HEStd_128_classic;3.2;6;1;0;12;137;103;10.3;9;1
537133057;HEStd_128_classic;3.2;6;2;0;11;137;103;10.3;318;3
537133057;HEStd_128_classic;3.2;6;3;0;13;143;106;10.6;95;2
537133057;HEStd_128_classic;3.2;6;8;0;12;137;98;9.8;116;3
537133057;HEStd_128_classic;3.2;6;9;0;11;138;95;9.5;28;3
537133057;HEStd_128_classic;3.2;8;1;0;31;498;281;28.1;20;4
537133057;HEStd_128_classic;3.2;8;2;0;31;487;302;30.2;786;7
537133057;HEStd_128_classic;3.2;8;3;0;30;501;280;28;301;5
537133057;HEStd_128_classic;3.2;8;8;0;28;486;276;27.6;761;8
537133057;HEStd_128_classic;3.2;8;9;0;30;506;285;28.5;84;6
537133057;HEStd_128_classic;3.2;10;1;0;31;653;305;30.5;32;8
537133057;HEStd_128_classic;3.2;10;2;0;33;646;319;31.9;783;6
537133057;HEStd_128_classic;3.2;10;3;0;32;632;354;35.4;394;5
537133057;HEStd_128_classic;3.2;10;8;0;32;629;326;32.6;565;6
537133057;HEStd_128_classic;3.2;10;9;0;35;639;309;30.9;105;6
