ptMod;securityLevel;dist;numMults;variant;nthRep;keyGenTime;keyGen4HMEkeys;totEncTime;avgEncTime;totHomOpr;decTime
537133057;HEStd_128_classic;3.2;1;1;0;7;12;50;5;5;2
537133057;HEStd_128_classic;3.2;1;2;0;3;12;41;4.1;62;1
537133057;HEStd_128_classic;3.2;1;3;0;2;10;25;2.5;19;0
537133057;HEStd_128_classic;3.2;1;8;0;4;9;26;2.6;29;0
537133057;HEStd_128_classic;3.2;1;9;0;2;9;28;2.8;5;0
537133057;HEStd_128_classic;3.2;2;1;0;3;19;33;3.3;4;1
537133057;HEStd_128_classic;3.2;2;2;0;3;20;38;3.8;73;1
537133057;HEStd_128_classic;3.2;2;3;0;3;20;34;3.4;24;0
537133057;HEStd_128_classic;3.2;2;8;0;3;19;33;3.3;80;2
537133057;HEStd_128_classic;3.2;2;9;0;5;21;51;5.1;7;1
537133057;HEStd_128_classic;3.2;3;1;0;14;91;91;9.1;3;1
537133057;HEStd_128_classic;3.2;3;2;0;10;79;102;10.2;225;2
537133057;HEStd_128_classic;3.2;3;3;0;8;71;88;8.8;72;2
537133057;HEStd_128_classic;3.2;3;8;0;8;77;85;8.5;90;2
537133057;HEStd_128_classic;3.2;3;9;0;8;74;82;8.2;27;1
537133057;HEStd_128_classic;3.2;4;1;0;11;107;125;12.5;11;4
537133057;HEStd_128_classic;3.2;4;2;0;11;129;98;9.8;336;2
537133057;HEStd_128_classic;3.2;4;3;0;9;117;95;9.5;106;3
537133057;HEStd_128_classic;3.2;4;8;0;11;108;102;10.2;127;2
537133057;HEStd_128_classic;3.2;4;9;0;9;110;97;9.7;32;1
537133057;HEStd_128_classic;3.2;6;1;0;13;163;120;12;7;1
537133057;HEStd_128_classic;3.2;6;2;0;11;158;112;11.2;251;2
537133057;HEStd_128_classic;3.2;6;3;0;11;160;125;12.5;150;9
537133057;HEStd_128_classic;3.2;6;8;0;13;179;109;10.9;209;4
537133057;HEStd_128_classic;3.2;6;9;0;14;163;107;10.7;33;2
537133057;HEStd_128_classic;3.2;8;1;0;35;535;319;31.9;20;5
537133057;HEStd_128_classic;3.2;8;2;0;30;520;304;30.4;1015;4
537133057;HEStd_128_classic;3.2;8;3;0;36;558;302;30.2;361;5
537133057;HEStd_128_classic;3.2;8;8;0;30;514;296;29.6;593;8
537133057;HEStd_128_classic;3.2;8;9;0;30;522;309;30.9;100;7
537133057;HEStd_128_classic;3.2;10;1;0;34;699;343;34.3;20;5
537133057;HEStd_128_classic;3.2;10;2;0;32;688;358;35.8;1020;6
537133057;HEStd_128_classic;3.2;10;3;0;33;655;332;33.2;511;10
537133057;HEStd_128_classic;3.2;10;8;0;43;735;331;33.1;546;5
537133057;HEStd_128_classic;3.2;10;9;0;36;654;335;33.5;162;8
786433;HEStd_128_classic;3.2;1;1;0;4;13;45;4.5;6;1
786433;HEStd_128_classic;3.2;1;2;0;5;17;37;3.7;118;2
786433;HEStd_128_classic;3.2;1;3;0;3;14;45;4.5;60;2
786433;HEStd_128_classic;3.2;1;8;0;4;17;60;6;74;1
786433;HEStd_128_classic;3.2;1;9;0;3;12;40;4;8;1
786433;HEStd_128_classic;3.2;2;1;0;6;32;38;3.8;3;0
786433;HEStd_128_classic;3.2;2;2;0;6;27;43;4.3;69;2
786433;HEStd_128_classic;3.2;2;3;0;4;24;36;3.6;35;1
786433;HEStd_128_classic;3.2;2;8;0;4;30;41;4.1;154;1
786433;HEStd_128_classic;3.2;2;9;0;4;26;59;5.9;19;1
786433;HEStd_128_classic;3.2;3;1;0;5;25;50;5;1;0
786433;HEStd_128_classic;3.2;3;2;0;4;29;45;4.5;262;4
786433;HEStd_128_classic;3.2;3;3;0;15;34;46;4.6;45;5
786433;HEStd_128_classic;3.2;3;8;0;7;39;40;4;43;2
786433;HEStd_128_classic;3.2;3;9;0;4;37;68;6.8;39;3
786433;HEStd_128_classic;3.2;4;1;0;10;111;91;9.1;7;2
786433;HEStd_128_classic;3.2;4;2;0;12;80;91;9.1;789;20
786433;HEStd_128_classic;3.2;4;3;0;12;97;122;12.2;193;6
786433;HEStd_128_classic;3.2;4;8;0;10;73;95;9.5;107;2
786433;HEStd_128_classic;3.2;4;9;0;8;73;118;11.8;59;3
786433;HEStd_128_classic;3.2;6;1;0;15;124;109;10.9;6;1
786433;HEStd_128_classic;3.2;6;2;0;9;118;119;11.9;200;2
786433;HEStd_128_classic;3.2;6;3;0;9;125;128;12.8;185;4
786433;HEStd_128_classic;3.2;6;8;0;11;132;112;11.2;117;2
786433;HEStd_128_classic;3.2;6;9;0;10;192;153;15.3;49;3
786433;HEStd_128_classic;3.2;8;1;0;18;241;157;15.7;10;1
786433;HEStd_128_classic;3.2;8;2;0;12;166;121;12.1;354;2
786433;HEStd_128_classic;3.2;8;3;0;11;163;113;11.3;149;3
786433;HEStd_128_classic;3.2;8;8;0;12;159;142;14.2;158;2
786433;HEStd_128_classic;3.2;8;9;0;14;176;111;11.1;31;4
786433;HEStd_128_classic;3.2;10;1;0;36;627;341;34.1;23;7
786433;HEStd_128_classic;3.2;10;2;0;33;562;305;30.5;864;7
786433;HEStd_128_classic;3.2;10;3;0;31;581;327;32.7;489;6
786433;HEStd_128_classic;3.2;10;8;0;30;608;341;34.1;575;5
