ptMod;securityLevel;dist;numMults;variant;nthRep;keyGenTime;keyGen4HMEkeys;totEncTime;avgEncTime;totHomOpr;decTime
537133057;HEStd_128_classic;3.2;3;1;0;11;66;71;7.1;4;1
537133057;HEStd_128_classic;3.2;3;2;0;8;63;71;7.1;125;2
537133057;HEStd_128_classic;3.2;3;3;0;7;63;72;7.2;63;2
537133057;HEStd_128_classic;3.2;3;8;0;8;66;72;7.2;88;3
537133057;HEStd_128_classic;3.2;3;9;0;8;63;76;7.6;17;1
537133057;HEStd_128_classic;5.4;3;1;0;8;69;74;7.4;7;1
537133057;HEStd_128_classic;5.4;3;2;0;7;63;79;7.9;137;2
537133057;HEStd_128_classic;5.4;3;3;0;7;62;76;7.6;62;2
537133057;HEStd_128_classic;5.4;3;8;0;8;63;74;7.4;74;2
537133057;HEStd_128_classic;5.4;3;9;0;9;65;75;7.5;17;1
537133057;HEStd_128_classic;8.2;3;1;0;8;65;75;7.5;6;1
537133057;HEStd_128_classic;8.2;3;2;0;7;64;74;7.4;134;2
537133057;HEStd_128_classic;8.2;3;3;0;8;67;96;9.6;100;2
537133057;HEStd_128_classic;8.2;3;8;0;11;66;74;7.4;98;5
537133057;HEStd_128_classic;8.2;3;9;0;9;72;99;9.9;37;4
537133057;HEStd_128_classic;30.6;3;1;0;9;75;98;9.8;10;3
537133057;HEStd_128_classic;30.6;3;2;0;8;77;84;8.4;162;2
537133057;HEStd_128_classic;30.6;3;3;0;9;64;80;8;57;2
537133057;HEStd_128_classic;30.6;3;8;0;8;67;84;8.4;84;2
537133057;HEStd_128_classic;30.6;3;9;0;9;66;85;8.5;20;1
537133057;HEStd_128_classic;1.7;3;1;0;8;66;78;7.8;8;5
537133057;HEStd_128_classic;1.7;3;2;0;8;64;76;7.6;163;2
537133057;HEStd_128_classic;1.7;3;3;0;12;65;78;7.8;62;2
537133057;HEStd_128_classic;1.7;3;8;0;8;63;75;7.5;137;19
537133057;HEStd_128_classic;1.7;3;9;0;11;74;85;8.5;28;3
537133057;HEStd_128_classic;0.8;3;1;0;8;62;72;7.2;5;1
537133057;HEStd_128_classic;0.8;3;2;0;9;62;72;7.2;132;2
537133057;HEStd_128_classic;0.8;3;3;0;8;62;70;7;56;2
537133057;HEStd_128_classic;0.8;3;8;0;8;63;82;8.2;75;2
537133057;HEStd_128_classic;0.8;3;9;0;7;62;71;7.1;18;1
537133057;HEStd_128_classic;0.2;3;1;0;8;61;67;6.7;5;1
537133057;HEStd_128_classic;0.2;3;2;0;7;60;64;6.4;126;2
537133057;HEStd_128_classic;0.2;3;3;0;8;61;64;6.4;80;2
537133057;HEStd_128_classic;0.2;3;8;0;7;62;65;6.5;83;2
537133057;HEStd_128_classic;0.2;3;9;0;8;65;67;6.7;17;2
537133057;HEStd_128_classic;0.01;3;1;0;8;60;64;6.4;5;1
537133057;HEStd_128_classic;0.01;3;2;0;7;62;64;6.4;127;2
537133057;HEStd_128_classic;0.01;3;3;0;9;66;75;7.5;118;3
537133057;HEStd_128_classic;0.01;3;8;0;9;69;68;6.8;78;2
537133057;HEStd_128_classic;0.01;3;9;0;8;59;64;6.4;17;1
537133057;HEStd_128_classic;0.001;3;1;0;8;59;64;6.4;6;1
537133057;HEStd_128_classic;0.001;3;2;0;8;59;71;7.1;134;2
537133057;HEStd_128_classic;0.001;3;3;0;8;60;65;6.5;56;2
537133057;HEStd_128_classic;0.001;3;8;0;8;63;68;6.8;77;2
537133057;HEStd_128_classic;0.001;3;9;0;7;61;64;6.4;17;2
786433;HEStd_128_classic;3.2;3;1;0;4;18;30;3;2;0
786433;HEStd_128_classic;3.2;3;2;0;3;19;30;3;89;1
786433;HEStd_128_classic;3.2;3;3;0;3;18;30;3;23;1
786433;HEStd_128_classic;3.2;3;8;0;3;19;31;3.1;34;2
786433;HEStd_128_classic;3.2;3;9;0;3;19;33;3.3;10;1
786433;HEStd_128_classic;5.4;3;1;0;3;19;31;3.1;2;0
786433;HEStd_128_classic;5.4;3;2;0;3;19;33;3.3;57;1
786433;HEStd_128_classic;5.4;3;3;0;3;19;31;3.1;24;1
786433;HEStd_128_classic;5.4;3;8;0;3;19;32;3.2;30;1
786433;HEStd_128_classic;5.4;3;9;0;3;18;31;3.1;7;1
786433;HEStd_128_classic;8.2;3;1;0;3;19;31;3.1;3;1
786433;HEStd_128_classic;8.2;3;2;0;3;19;31;3.1;55;1
786433;HEStd_128_classic;8.2;3;3;0;3;20;32;3.2;23;1
786433;HEStd_128_classic;8.2;3;8;0;3;18;56;5.6;76;1
786433;HEStd_128_classic;8.2;3;9;0;4;32;72;7.2;19;2
786433;HEStd_128_classic;30.6;3;1;0;4;26;54;5.4;4;2
786433;HEStd_128_classic;30.6;3;2;0;5;23;34;3.4;51;2
786433;HEStd_128_classic;30.6;3;3;0;3;19;33;3.3;23;1
786433;HEStd_128_classic;30.6;3;8;0;4;19;34;3.4;30;1
786433;HEStd_128_classic;30.6;3;9;0;3;19;33;3.3;6;1
786433;HEStd_128_classic;1.7;3;1;0;3;19;49;4.9;13;3
786433;HEStd_128_classic;1.7;3;2;0;3;18;30;3;58;1
786433;HEStd_128_classic;1.7;3;3;0;4;20;31;3.1;24;1
786433;HEStd_128_classic;1.7;3;8;0;5;18;30;3;31;1
786433;HEStd_128_classic;1.7;3;9;0;3;18;29;2.9;7;1
786433;HEStd_128_classic;0.8;3;1;0;3;18;31;3.1;3;0
786433;HEStd_128_classic;0.8;3;2;0;3;19;30;3;65;1
786433;HEStd_128_classic;0.8;3;3;0;3;20;30;3;26;1
786433;HEStd_128_classic;0.8;3;8;0;3;19;31;3.1;35;1
786433;HEStd_128_classic;0.8;3;9;0;3;19;31;3.1;8;1
786433;HEStd_128_classic;0.2;3;1;0;2;20;45;4.5;6;0
786433;HEStd_128_classic;0.2;3;2;0;3;17;25;2.5;53;1
786433;HEStd_128_classic;0.2;3;3;0;3;19;25;2.5;24;1
786433;HEStd_128_classic;0.2;3;8;0;3;18;26;2.6;36;1
786433;HEStd_128_classic;0.2;3;9;0;3;17;101;10.1;36;4
786433;HEStd_128_classic;0.01;3;1;0;26;54;28;2.8;2;0
786433;HEStd_128_classic;0.01;3;2;0;2;18;27;2.7;68;1
786433;HEStd_128_classic;0.01;3;3;0;3;19;28;2.8;27;1
786433;HEStd_128_classic;0.01;3;8;0;3;21;45;4.5;99;2
786433;HEStd_128_classic;0.01;3;9;0;3;20;29;2.9;11;1
786433;HEStd_128_classic;0.001;3;1;0;5;19;32;3.2;2;0
786433;HEStd_128_classic;0.001;3;2;0;2;19;29;2.9;131;2
786433;HEStd_128_classic;0.001;3;3;0;3;25;46;4.6;80;7
786433;HEStd_128_classic;0.001;3;8;0;6;33;42;4.2;76;1
786433;HEStd_128_classic;0.001;3;9;0;3;17;26;2.6;7;1
269221889;HEStd_128_classic;3.2;3;1;0;7;66;93;9.3;5;1
269221889;HEStd_128_classic;3.2;3;2;0;8;68;81;8.1;169;2
269221889;HEStd_128_classic;3.2;3;3;0;9;68;80;8;67;2
269221889;HEStd_128_classic;3.2;3;8;0;8;65;77;7.7;95;3
269221889;HEStd_128_classic;3.2;3;9;0;10;69;88;8.8;18;2
269221889;HEStd_128_classic;5.4;3;1;0;8;64;76;7.6;5;1
269221889;HEStd_128_classic;5.4;3;2;0;8;65;79;7.9;139;2
269221889;HEStd_128_classic;5.4;3;3;0;8;67;78;7.8;67;2
269221889;HEStd_128_classic;5.4;3;8;0;7;66;80;8;85;2
269221889;HEStd_128_classic;5.4;3;9;0;8;69;84;8.4;19;1
269221889;HEStd_128_classic;8.2;3;1;0;8;81;97;9.7;8;2
269221889;HEStd_128_classic;8.2;3;2;0;9;70;120;12;421;3
269221889;HEStd_128_classic;8.2;3;3;0;9;76;130;13;191;2
269221889;HEStd_128_classic;8.2;3;8;0;9;71;80;8;111;2
269221889;HEStd_128_classic;8.2;3;9;0;8;67;76;7.6;16;2
269221889;HEStd_128_classic;30.6;3;1;0;8;67;81;8.1;5;1
269221889;HEStd_128_classic;30.6;3;2;0;8;67;82;8.2;133;2
269221889;HEStd_128_classic;30.6;3;3;0;8;67;80;8;76;3
269221889;HEStd_128_classic;30.6;3;8;0;9;70;83;8.3;96;3
